Time (s)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
6.38199949264526	1.6	0.0244639794342205	1.57553602056578	0.000726053465698515	1.6	1.80092820478603	1.57553602056578
6.5	1.4	0.0338500520214424	1.36614994797856	0.000629562188008551	1.4	1.6013417923823	1.36614994797856
6.61399984359741	1.2	0.033436464425175	1.16656353557482	0.000537586882753375	1.2	1.40110206929967	1.16656353557482
6.71200037002563	0.999999999999999	0.0470690564252423	0.952930943574756	0.000439138683675003	0.999999999999999	1.20086234621704	0.952930943574756
6.83300065994263	0.799999999999999	0.683306725416331	0.116693274583668	5.37757025731187E-05	0.799999999999999	0.999969312455505	0.116693274583668
6.92799997329712	0.599999999999999	0.5120523952879	0.0879476047120988	4.05288500977414E-05	0.599999999999999	0.801036210730672	0.0879476047120988
7.04400062561035	0.399999999999999	0.335898235067724	0.0641017649322748	2.9539983839758E-05	0.399999999999999	0.60079648764804	0.0641017649322748
7.15400075912476	0.199999999999999	0.1574574874714	0.0425425125285983	1.9604844483225E-05	0.199999999999999	0.400883419904858	0.0425425125285983
7.25899982452393	-1.27675647831893E-15	-0.0206566047854734	0.0206566047854722	9.51917271219915E-06	-1.27675647831893E-15	0.200643696822226	0.0206566047854722
7.36999988555908	-0.200000000000001	-0.201057284418495	0.00105728441849351	4.87227842623737E-07	-0.200000000000001	0.00138393975794315	0.00105728441849351
7.47699975967407	-0.400000000000001	-0.380804653372617	-0.0191953466273844	-8.84578185593752E-06	-0.400000000000001	-0.198855783324689	-0.0191953466273844
7.59200048446655	-0.600000000000001	-0.55957205630839	-0.0404279436916113	-1.86303887979776E-05	-0.600000000000001	-0.398442195728421	-0.0404279436916113
7.69600057601929	-0.800000000000001	-0.737032837886365	-0.0629671621136367	-2.90171253979893E-05	-0.800000000000001	-0.599335229489952	-0.0629671621136367
7.81100034713745	-1	-0.913186998106541	-0.0868130018934608	-4.00059916559727E-05	-1	-0.799248297233135	-0.0868130018934608
7.91700029373169	-1.2	-1.08574794959277	-0.114252050407231	-5.26507144733783E-05	-1.2	-0.998508054297417	-0.114252050407231
8.02100038528442	-1.4	-1.25340907098726	-0.146590929012746	-6.75534235081777E-05	-1.4	-1.19940108805895	-0.146590929012746
8.14600038528442	-1.6	-1.39885762929917	-0.201142370700836	-9.26923367284959E-05	-1.6	-1.39964081114158	-0.201142370700836
8.24699974060059	-1.8	-0.445437625702472	-1.35456237429753	-0.000624222292303009	-1.8	-1.59988053422421	-1.35456237429753
8.36399936676025	-2	-0.440951383206995	-1.55904861679301	-0.000718455583775579	-2	-1.7991402912885	-1.55904861679301
8.46200084686279	-2.2	-0.429605378583075	-1.77039462141693	-0.000815850055952501	-2.2	-1.99938001437113	-1.77039462141693
8.57399988174438	-2.4	-0.426425757445397	-1.97357424255461	-0.000909481217767099	-2.4	-2.19896642677486	-1.97357424255461
8.68499946594238	-2.6	-0.423899446986618	-2.17610055301338	-0.00100281131475271	-2.6	-2.39822618383914	-2.17610055301338
8.80000019073486	-2.8	-0.423986379243436	-2.37601362075657	-0.00109493715242238	-2.8	-2.60009918361902	-2.37601362075657
8.90200042724609	-3	-0.424726622179153	-2.57527337782085	-0.00118676192526306	-3	-2.79968559602275	-2.57527337782085
9.00599956512451	-3.2	-0.426773486472669	-2.77322651352733	-0.00127798456844578	-3.2	-3.00025197444484	-2.77322651352733
9.11800050735474	-3.4	-0.431760248821231	-2.96823975117877	-0.00136785241989805	-3.4	-3.19918507616967	-2.96823975117877
9.23400020599365	-3.6	-0.44066687524319	-3.15933312475681	-0.00145591388237641	-3.6	-3.39975145459175	-3.15933312475681
9.33500051498413	-3.8	-0.450553467683497	-3.34944653231651	-0.00154352374761129	-3.8	-3.59999117767438	-3.34944653231651
9.44600009918213	-4	-0.458480128087103	-3.5415198719129	-0.00163203680733313	-4	-3.79925093473867	-3.5415198719129
9.5570011138916	-3.8	-0.0644468564540146	-3.73555314354599	-0.00172145306154193	-3.8	-3.99981731316075	-3.73555314354599
9.66400098800659	-3.6	-0.0555402300320562	-3.54445976996794	-0.00163339159906357	-3.6	-3.79892427939922	-3.54445976996794
9.77400016784668	-3.4	-0.048266880307346	-3.35173311969265	-0.00154457747451274	-3.4	-3.59933786699548	-3.35173311969265
