Time,X(CH1),X(CH2),
Second,Volt,Volt,
-7.0076096e-01,-0.00000e+00,1.38000e-01,
-7.0046800e-01,-0.00000e+00,1.36000e-01,
-7.0017505e-01,2.00001e-01,1.34000e-01,
-6.9988209e-01,2.00001e-01,1.38000e-01,
-6.9958913e-01,-0.00000e+00,1.34000e-01,
-6.9929618e-01,2.00001e-01,1.34000e-01,
-6.9900322e-01,-0.00000e+00,1.36000e-01,
-6.9871026e-01,-0.00000e+00,1.34000e-01,
-6.9841731e-01,2.00001e-01,1.34000e-01,
-6.9812435e-01,-0.00000e+00,1.32000e-01,
-6.9783139e-01,-0.00000e+00,1.34000e-01,
-6.9753844e-01,-0.00000e+00,1.34000e-01,
-6.9724548e-01,-0.00000e+00,1.34000e-01,
-6.9695252e-01,-0.00000e+00,1.34000e-01,
-6.9665956e-01,-0.00000e+00,1.30000e-01,
-6.9636661e-01,-0.00000e+00,1.32000e-01,
-6.9607365e-01,-0.00000e+00,1.34000e-01,
-6.9578069e-01,-0.00000e+00,1.32000e-01,
-6.9548774e-01,-0.00000e+00,1.34000e-01,
-6.9519478e-01,2.00001e-01,1.36000e-01,
-6.9490182e-01,-0.00000e+00,1.36000e-01,
-6.9460887e-01,-0.00000e+00,1.34000e-01,
-6.9431591e-01,2.00001e-01,1.36000e-01,
-6.9402295e-01,-0.00000e+00,1.38000e-01,
-6.9373000e-01,-0.00000e+00,1.38000e-01,
-6.9343704e-01,2.00001e-01,1.34000e-01,
-6.9314408e-01,-0.00000e+00,1.40000e-01,
-6.9285113e-01,-0.00000e+00,1.40000e-01,
-6.9255817e-01,-0.00000e+00,1.40000e-01,
-6.9226521e-01,-0.00000e+00,1.40000e-01,
-6.9197226e-01,-0.00000e+00,1.42000e-01,
-6.9167930e-01,-0.00000e+00,1.40000e-01,
-6.9138634e-01,2.00001e-01,1.42000e-01,
-6.9109339e-01,-0.00000e+00,1.40000e-01,
-6.9080043e-01,-0.00000e+00,1.42000e-01,
-6.9050747e-01,-0.00000e+00,1.42000e-01,
-6.9021451e-01,-0.00000e+00,1.42000e-01,
-6.8992156e-01,-0.00000e+00,1.42000e-01,
-6.8962860e-01,2.00001e-01,1.38000e-01,
-6.8933564e-01,2.00001e-01,1.42000e-01,
-6.8904269e-01,-0.00000e+00,1.42000e-01,
-6.8874973e-01,2.00001e-01,1.42000e-01,
-6.8845677e-01,2.00001e-01,1.42000e-01,
-6.8816382e-01,-0.00000e+00,1.42000e-01,
-6.8787086e-01,2.00001e-01,1.42000e-01,
