Time (s)	Drive Voltage (V)	Bias Voltage (V)	Resistor Voltage Drop (V)	Current (A)	Raw AO0 (V)	Raw AI0 (V)	Raw AI1 (V)
4.63000059127808	3.8	6.39174234541133	-2.59233677387238	-0.00119462524141584	3.8	3.79940557153896	1.20706879766658
4.74300050735474	4	6.73081058776006	-2.73018532712013	-0.00125814992033186	4	4.00062526063994	1.27043993351981
4.8580002784729	3.8	6.39402893278748	-2.59331673989072	-0.00119507683865932	3.8	3.80071219289675	1.20739545300603
4.96300029754639	3.6	6.0552873457782	-2.45546818664297	-0.00113155215974331	3.6	3.59981915913522	1.14435097249225
5.0770001411438	3.4	5.72079227818176	-2.32023287611082	-0.00106923174014324	3.4	3.40055940207094	1.08032652596012
5.17600011825562	3.2	5.38303065719083	-2.18336428888142	-0.0010061586584707	3.2	3.19966636830941	1.01630207942799
5.30000066757202	3	5.0465756575577	-2.04649570165202	-0.000943085576798166	3	3.00007995590568	0.953584254253656
5.4089994430542	2.8	4.71240724530071	-1.91126039111987	-0.000880765157198096	2.8	2.80114685418084	0.889886463060975
5.51900053024292	2.6	4.37431896897033	-1.77406514855102	-0.000817541543111068	2.6	2.60025382041931	0.826188671868294
5.63000011444092	2.4	4.03949724603444	-1.63850318267941	-0.000755070591096504	2.4	2.40099406335503	0.762490880675614
5.74100017547607	2.2	3.69977569300681	-1.49967466341332	-0.000691094314937012	2.2	2.2001010295935	0.700426366180182
5.85199975967407	2	3.36560728074983	-1.36476600822061	-0.000628924427751435	2	2.00084127252921	0.636075264308602
5.96199989318848	1.8	3.02947893645614	-1.22855073167011	-0.000566152410907885	1.8	1.80092820478603	0.572377473115921
6.07300043106079	1.6	2.69237062614411	-1.09168214444071	-0.00050307932923535	1.6	1.6006884817034	0.50900633726269
6.17400074005127	1.4	2.35526231583208	-0.955140212550759	-0.000440156779977308	1.4	1.40012210328132	0.44498189073056
6.28500080108643	1.2	2.0178273501806	-0.817944969981909	-0.000376933165890281	1.2	1.19988238019869	0.381937410216779
6.40500020980835	0.999999999999999	1.68169900588691	-0.681729693431407	-0.000314161149046731	0.999999999999999	0.999969312455505	0.318239619024098
6.50800037384033	0.799999999999999	1.34524400625378	-0.545187761541456	-0.000251238599788689	0.799999999999999	0.800056244712323	0.254868483170867
6.61600017547607	0.599999999999999	1.00748238526285	-0.407992518972605	-0.000188014985701662	0.599999999999999	0.599489866290241	0.191497347317636
6.72900009155273	0.399999999999999	0.673313973005861	-0.272757208440453	-0.000125694566101591	0.399999999999999	0.400556764565408	0.127799556124955
6.84299993515015	0.199999999999999	0.336532318033278	-0.135888621211052	-6.26214844290562E-05	0.199999999999999	0.200643696822226	0.0647550756111741
6.94100046157837	-1.27675647831893E-15	0.00203725043684244	-0.000979966018348932	-4.51597243478771E-07	-1.27675647831893E-15	0.00105728441849351	7.7318400144577E-05
7.05000019073486	-0.200000000000001	-0.33539771521464	0.136541931889951	6.2922549258042E-05	-0.200000000000001	-0.198855783324689	-0.0623138514347374
